54, 1997-5 ,39778,9,美国|林达|政治|历史|文化|社会|民主|随笔
55, 2021-4 ,329,8.4,历史|三国|刘勃|中国历史|文化|历史思考|中国|中国古代史
56, 2017-2 ,46874,8.4,未来|尤瓦尔·赫拉利|社会学|人类史|人类学|思维|科普|历史
57, 2012-7 ,6690,9.4,历史|钱穆|政治制度史|政治|中国古代史|中国历史|中国|经典
58, 2019-5-1 ,3026,8.7,历史|刘勃|中国历史|战国|春秋战国|先秦史|读库|中国
59, 2013-5 ,7761,8.7,日本文学|中岛敦|日本|文学|小说|中国历史|笔记小说|外国文学
60, 2021-5 ,91,8.8,文明史|能源|科普|历史|历史思考|科技|世界历史|商业
61, 2021-5 ,227,8.1,历史|朝鲜|朝鲜半岛|东亚|韩国史|世界史|韩国|世界历史
62, 2006-4 ,5383,9,历史|中国近代史|蒋廷黻|近代史|中国历史|中国近现代|中国|经典
63, 2021-6 ,90,7.9,历史|文化史|神秘学|民俗学|历史人类学|人类学|理想国|欧洲
64, 2014-6 ,6443,9,历史|地中海史诗三部曲|拜占庭|欧洲历史|中世纪|罗杰·克劳利|文明冲突|军事史
65, 2020-6 ,973,8.1,金一南|历史|中国|政治|纪实|经济|中国文学|成长
66, 2019-7 ,1150,9.3,中国近代史|五四运动|历史|思想史|五四|知识分子|中国|后浪
67, 2021-5 ,70,8.5,二战|历史|欧洲史|战争|甲骨文丛书|甲骨文|社会科学文献出版社|军事史
68, 2021-1 ,538,8.5,历史|蒙元史|中国历史|蒙古|历史思考|2021|内亚|中国
69, 2021-4 ,66,8.6,印度|历史|世界史|世界历史|历史思考|2021|美国|文化
70, 2011-11 ,46340,8.2,历史|欧洲史|欧洲|科普|文化|通俗|通识|极简
71, 2021-1 ,787,8.9,间谍|冷战|历史|甲骨文|传记|历史文化|2021|2020
72, 2014-10-1 ,1883,9.5,中共党史|当代中国史|历史|社会主义|政治|共和国史|中国近代史|中国
73, 2016-1 ,17066,8.8,纪实|历史|苏联|阿列克谢耶维奇|外国文学|社会|白俄罗斯文学|社会学
74, 2014-9-1 ,4092,9.1,历史|中东|传记|伊斯兰|劳伦斯|甲骨文|政治|历史学
75, 2019-7 ,7187,8.2,历史|中国历史|宋史|北宋|北宋，历史，汴京|靖康之难，北宋亡国，宋徽宗|靖康之难|中国
76, 2020-2 ,1234,9.3,历史|德国|二战|理想国译丛|政治|德国研究|欧洲史|理想国
77, 2019-7-1 ,1328,9.3,历史|阿拉伯|中东史|中东|世界史|欧洲史|好书，值得一读|2019
78, 2011-8 ,29545,9,互联网|IT|商业|计算机|浪潮之巅|历史|管理|投资
79, 2015-8-1 ,3081,8.4,民国知识分子|历史|民国|近代史|人物传记|文化|文人|传记
80, 2015-1-1 ,15477,8.2,清明上河图|推理|历史|悬疑|小说|悬疑小说|中国|南宋
81, 2016-7 ,3709,9.4,历史小说|明朝|历史|刘和平|明史|小说|中国文学|社会/历史
82, 2020-11 ,260,6.6,中国史|历史|漫画|小说|人物传记|经典|励志|传记
83, 2014-1 ,3385,9.2,历史|大英博物馆|世界史|博物馆|文化|艺术|英国|科普
84, 2021-4 ,308,8.6,清史|历史|雍正|政治史|清朝|清|历史思考|中国史
85, 2021-4-1 ,162,8.5,历史|文化|中国|中国历史|宋代|2021|科普|宋
86, 2010-12 ,2893,9.2,国民党|中国近代史|历史|政治|王奇生|民国史|政治学|民国
87, 2021-4-5 ,113,9.1,历史|拉丁美洲|拉美|世界史|拉美文学|非虚构|近代史|新思文化
88, 2003-08-01 ,2384,9.5,纪实|杨显惠|历史|伤痕文学|中国|反右|现实|小说
89, 2021-6 ,91,9.1,俄罗斯|文学|外国文学|回忆录|传记|历史|非虚构|社会学
90, 1990-6 ,62031,8.2,日本文化|日本|社会学|菊与刀|人类学|文化|历史|社会
91, 2010-1-1 ,7372,8.6,政治|国际政治|政治学|历史|文化|塞缪尔·亨廷顿|亨廷顿|政治学-国际政治&国际关系
92, 2015-7 ,3201,9,历史|二战后的欧洲|二战|欧洲史|欧洲|社会史|甲骨文|甲骨文丛书
93, 2020-4 ,4264,8.2,投资|价值投资|金融|思维|金融投资|历史|芒格|生活
94, 2004-8 ,25527,8.7,茨威格|历史|传记|人物传记|外国文学|奥地利|文学|人物
95, 2013-1-1 ,8983,9.3,中国哲学|哲学|冯友兰|哲学史|思想|大师作品|中国|文化
96, 2019-5 ,6225,8.8,历史|历史学|罗新|随笔|中国史|中国古代史|中国|*上海三联书店*
97, 2012-10-1 ,6335,8.4,历史|张宏杰|清朝|清史|中国历史|乾隆|中国的历史，文化，政治，社会，国民性|社会学
98, 2018-10-1 ,26,8.2,女性|女性主义|历史|科学|文化|文学|人民邮电出版社|0.文化
99, 2017-4-10 ,22554,7.5,历史|漫画|通俗历史|轻读物|中国史|搞笑|二混子|漫画绘本
100, 2004-5-1 ,12037,9.2,茨威格|回忆录|历史|斯蒂芬?茨威格|传记|外国文学|欧洲|奥地利
101, 2014-9 ,6837,9.1,历史|明史|黄仁宇|中国历史|政治|明清史研究|中国|文化
102, 2021-5 ,72,9,一战|理想国译丛|历史|世界史|国际关系|军事史|英国|2020
103, 2007-2 ,26399,8.2,历史|黄仁宇|中国大历史|中国历史|中国|中国史|大历史|人文
104, 2013-1-1 ,3533,8.9,温铁军|政治经济学|经济学|中国|新角度看中国经济|经济|社会学|中国经济
105, 2021-4 ,34,9.5,印度|历史|英国|甲骨文丛书|甲骨文|政治学|感兴趣|新书记
106, 2021-6 ,143,8.7,社会学|印度|人类学|社会|阶级|历史|美国文学|美国
107, 2021-6 ,66,9.2,金融危机|金融|金融史|经济学|历史|经济史|理想国译丛|经济
108, 1985-7 ,16533,8.7,马基雅维利|政治学|政治|君主论|哲学|历史|意大利|政治哲学
109, 2006-6 ,5432,9.5,历史|史记|司马迁|中国历史|古典文学|二十四史|国学|中国文学
110, 2021-5 ,266,8.5,西南联大|许渊冲|回忆录|历史|散文随笔|散文|青春|成长
111, 2021-4 ,111,8.6,社会学|人类学|政治学|文化人类学|社会科学|政治|历史|2021
112, 2003-5-1 ,3340,9,社会学|恩格斯|人类学|马克思主义|哲学|马克思主义哲学|政治学|社会
113, 2021-5 ,41,8.9,欧洲史|中世纪|历史|世界史|汗青堂|欧洲|世界历史|文艺复兴
114, 2015-7-1 ,2714,9,国际关系|基辛格|政治|中国|历史|中美关系|外交|政治学
115, 2021-6 ,29,8.1,历史|英国史|英国|世界史|文化研究|医疗史|历史与记忆|非虚构
116, 2018-12 ,8282,8.6,曾国藩|传记|历史|人物传记|晚清|张宏杰|奋斗|经典
117, 2018-8 ,16121,8.1,简史三部曲|尤瓦尔·赫拉利|历史|社科|思维|社会|社会学|人类学
118, 2021-4-29 ,31,7.9,历史|经济史|经济学|政治经济学|理想国|政治|新译本|下一单
119, 2021-6 ,30,7.5,历史|东亚|中国史|古代史|后浪|社会学|汗青堂|中古史
120, 2021-5-1 ,50,9.7,女性|二战|传记|德国|历史|空军|欧洲史|近代史
